LODZ         ŠIFRANT DRŽAV   

001          BOSNA IN HERCEGOVINA 
002          ÈRNA GORA            
003          HRVAŠKA              
004          MAKEDONIJA           
005          SLOVENIJA            
006          SRBIJA               
008          KOSOVO                        
101          ALBANIJA             
102          BOLGARIJA            
104          MADŽARSKA            
106          POLJSKA              
107          ROMUNIJA             
111          BELORUSIJA           
112          UKRAJINA             
113          LITVA                
114          LATVIJA              
115          ESTONIJA             
116          RUSKA FEDERACIJA     
117          REPUBLIKA MOLDAVIJA  
117          MOLDAVIJA REPUBLIKA 
118          ARMENIJA             
119          GRUZIJA              
120          AZERBAJDŽAN          
121          KAZAHSTAN            
122          KIRGIZISTAN          
123          UZBEKISTAN           
124          TADŽIKISTAN          
125          TURKMENISTAN         
130          ÈEŠKA REPUBLIKA      
131          SLOVAŠKA             
175          MAYOTTE              
201          ANDORA               
202          AVSTRIJA             
203          BELGIJA              
204          DANSKA               
205          FINSKA
206          FRANCIJA                              
207          GRÈIJA                                
208          NIZOZEMSKA                            
209          IRSKA                                 
210          ISLANDIJA                             
211          ITALIJA                               
212          LIHTENŠTAJN                           
213          LUKSEMBURG                            
214          MONAKO                                
215          NEMÈIJA                               
216          NORVEŠKA                              
217          PORTUGALSKA                           
218          SAN MARINO                            
219          ŠPANIJA                               
220          ŠVICA                                 
221          ŠVEDSKA                               
222          SVETI SEDEŽ  VATIKANSKA MESTNA DRŽAVA 
223          ZDRUŽENO KRALJESTVO  VELIKA BRITANIJA 
224          MALTA                                 
225          GIBRALTAR                             
226          FERSKI OTOKI                          
232          ERITREJA                              
239          JUŽNA GEORGIJA IN OTOKI JUŽNI SANDWICH
240          MALTEŠKI VITEŠKI RED                  
301          AFGANISTAN                            
302          BAHRAJN                               
303          MJANMAR  BURMA                        
304          BUTAN                                 
305          ŠRI LANKA                             
306          FILIPINI                              
307          HONKONG                               
308          INDIJA                                
309          INDONEZIJA                            
310          IRAK                                  
311          IRAN                                  
312          IZRAEL                                
313          JAPONSKA 
314          JEMEN                                 
315          JORDANIJA                             
316          JEMEN NDR  JUŽNI JEMEN                
317          ZDRUŽENI ARABSKI EMIRATI              
318          KAMBODŽA                              
319          KITAJSKA                              
320          CIPER                                 
321          KOREJA, REPUBLIKA                     
322          KOREJA, DEMOKRATIÈNA LJUDSKA REPUBLIKA
323          KUVAJT                                
324          LAOS                                  
325          LIBANON                               
326          MALEZIJA                              
327          MONGOLIJA                             
328          OMAN                                  
329          NEPAL                                 
330          PAKISTAN                              
331          SAUDOVA ARABIJA                       
332          SINGAPUR                              
333          SIRSKA ARABSKA REPUBLIKA              
334          TAJVAN, PROVINCA KITAJSKE             
336          TURÈIJA                               
337          VIETNAM                               
339          PALESTINSKO OBMOÈJE, ZASEDENO         
339          PALESTINA
340          SULTANAT BRUNEJ                       
341          KATAR                                 
342          MACAU                                 
343          MALDIVI                               
344          TAJSKA                                
346          TIMOR-LESTE                           
347          BANGLADEŠ                             
348          PAPUA NOVA GVINEJA                    
350          AVSTRALIJA                            
351          NOVA ZELANDIJA                        
352          SAMOA                                 
353          FIDŽI                                 
354          NAURU
355          SALOMONOVI OTOKI              
356          TONGA                         
357          TUVALU                        
358          KIRIBATI                      
359          BOŽIÈNI OTOK                  
360          VANUATU                       
361          AMERIŠKA SAMOA                
363          GUAM                          
